73557,79537;POST Luxembourg
73557,79537;ORANGE Communications Luxembourg S.A.
73557,79537;TANGO S.A.
77362,73856;ORANGE Communications Luxembourg S.A.
77362,73856;POST Luxembourg
73782,76060;POST Luxembourg
73782,76060;TANGO S.A.
73782,76060;ORANGE Communications Luxembourg S.A.
75404,73357;POST Luxembourg
99846,91560;POST Luxembourg
76059,63466;TANGO S.A.
76059,63466;ORANGE Communications Luxembourg S.A.
95511,74244;TANGO S.A.
98283,80091;ORANGE Communications Luxembourg S.A.
98283,80091;TANGO S.A.
77043,75415;TANGO S.A.
93392,67979;TANGO S.A.
87080,67496;TANGO S.A.
76961,76724;ORANGE Communications Luxembourg S.A.
76961,76724;TANGO S.A.
57268,69149;TANGO S.A.
57268,69149;POST Luxembourg
60707,64237;POST Luxembourg
60707,64237;TANGO S.A.
60707,64237;ORANGE Communications Luxembourg S.A.
75339,75731;TANGO S.A.
75339,75731;POST Luxembourg
75339,75731;ORANGE Communications Luxembourg S.A.
91470,82173;TANGO S.A.
91470,82173;POST Luxembourg
73791,61263;TANGO S.A.
74835,100990;TANGO S.A.
62969,64594;TANGO S.A.
78524,78396;TANGO S.A.
78524,78396;ORANGE Communications Luxembourg S.A.
103114,86770;POST Luxembourg
103114,86770;ORANGE Communications Luxembourg S.A.
103114,86770;TANGO S.A.
61862,115027;POST Luxembourg
61862,115027;TANGO S.A.
84448,75864;ORANGE Communications Luxembourg S.A.
84448,75864;TANGO S.A.
84448,75864;POST Luxembourg
79034,103526;TANGO S.A.
79034,103526;ORANGE Communications Luxembourg S.A.
78677,80445;TANGO S.A.
84804,72107;POST Luxembourg
84804,72107;TANGO S.A.
84804,72107;ORANGE Communications Luxembourg S.A.
74429,71876;TANGO S.A.
74429,71876;ORANGE Communications Luxembourg S.A.
71654,76619;TANGO S.A.
75032,91506;TANGO S.A.
69531,78373;TANGO S.A.
82996,77660;TANGO S.A.
86915,78663;TANGO S.A.
86915,78663;POST Luxembourg
66195,62033;TANGO S.A.
64635,71258;TANGO S.A.
64738,78926;TANGO S.A.
95887,88938;POST Luxembourg
76293,74010;POST Luxembourg
76293,74010;TANGO S.A.
77500,74431;TANGO S.A.
85098,98574;TANGO S.A.
66739,61569;TANGO S.A.
75461,120727;ORANGE Communications Luxembourg S.A.
75461,120727;TANGO S.A.
72915,74794;TANGO S.A.
65181,105491;POST Luxembourg
65181,105491;TANGO S.A.
61201,79479;POST Luxembourg
61201,79479;TANGO S.A.
61201,79479;ORANGE Communications Luxembourg S.A.
61790,85037;TANGO S.A.
76925,88058;TANGO S.A.
76925,88058;ORANGE Communications Luxembourg S.A.
76925,88058;POST Luxembourg
77598,74139;TANGO S.A.
77598,74139;POST Luxembourg
73853,70166;POST Luxembourg
73853,70166;ORANGE Communications Luxembourg S.A.
73853,70166;TANGO S.A.
76565,67779;TANGO S.A.
76565,67779;ORANGE Communications Luxembourg S.A.
60100,66472;TANGO S.A.
60100,66472;ORANGE Communications Luxembourg S.A.
60100,66472;POST Luxembourg
96575,83240;TANGO S.A.
71682,76574;ORANGE Communications Luxembourg S.A.
64162,63107;POST Luxembourg
64162,63107;TANGO S.A.
64162,63107;ORANGE Communications Luxembourg S.A.
63001,64629;POST Luxembourg
63001,64629;ORANGE Communications Luxembourg S.A.
72700,76232;POST Luxembourg
72700,76232;ORANGE Communications Luxembourg S.A.
74071,65771;POST Luxembourg
74071,65771;TANGO S.A.
74071,65771;ORANGE Communications Luxembourg S.A.
56175,67624;ORANGE Communications Luxembourg S.A.
56175,67624;TANGO S.A.
56175,67624;POST Luxembourg
79823,75485;POST Luxembourg
79823,75485;ORANGE Communications Luxembourg S.A.
79823,75485;TANGO S.A.
76120,71654;ORANGE Communications Luxembourg S.A.
79628,76069;POST Luxembourg
79628,76069;ORANGE Communications Luxembourg S.A.
79628,76069;TANGO S.A.
74676,76066;ORANGE Communications Luxembourg S.A.
74676,76066;POST Luxembourg
77402,71562;ORANGE Communications Luxembourg S.A.
77791,72699;ORANGE Communications Luxembourg S.A.
77791,72699;POST Luxembourg
80502,77644;ORANGE Communications Luxembourg S.A.
80347,77894;ORANGE Communications Luxembourg S.A.
75702,74684;ORANGE Communications Luxembourg S.A.
75702,74684;TANGO S.A.
75702,74684;POST Luxembourg
76475,75160;POST Luxembourg
76475,75160;ORANGE Communications Luxembourg S.A.
76475,75160;TANGO S.A.
68769,63701;POST Luxembourg
65730,77912;ORANGE Communications Luxembourg S.A.
65730,77912;POST Luxembourg
77081,73676;ORANGE Communications Luxembourg S.A.
76939,73568;ORANGE Communications Luxembourg S.A.
72588,74050;POST Luxembourg
72588,74050;TANGO S.A.
72588,74050;ORANGE Communications Luxembourg S.A.
74666,94667;POST Luxembourg
74666,94667;ORANGE Communications Luxembourg S.A.
90487,64069;POST Luxembourg
90487,64069;TANGO S.A.
90487,64069;ORANGE Communications Luxembourg S.A.
62714,70456;TANGO S.A.
62714,70456;ORANGE Communications Luxembourg S.A.
62714,70456;POST Luxembourg
80309,77938;TANGO S.A.
88767,70576;TANGO S.A.
59712,73971;TANGO S.A.
59712,73971;POST Luxembourg
59712,73971;ORANGE Communications Luxembourg S.A.
72231,95185;POST Luxembourg
72231,95185;ORANGE Communications Luxembourg S.A.
72231,95185;TANGO S.A.
79105,71173;TANGO S.A.
78436,78319;POST Luxembourg
76786,75921;TANGO S.A.
81357,76475;POST Luxembourg
81357,76475;ORANGE Communications Luxembourg S.A.
72855,90362;ORANGE Communications Luxembourg S.A.
72855,90362;TANGO S.A.
72855,90362;POST Luxembourg
74685,74609;POST Luxembourg
76032,74497;POST Luxembourg
75706,75128;POST Luxembourg
75706,75128;TANGO S.A.
62485,66539;POST Luxembourg
62485,66539;ORANGE Communications Luxembourg S.A.
62485,66539;TANGO S.A.
65582,64867;POST Luxembourg
77991,75199;POST Luxembourg
81357,76472;TANGO S.A.
76014,76590;POST Luxembourg
76014,76590;TANGO S.A.
61494,70343;TANGO S.A.
61494,70343;POST Luxembourg
67036,69817;POST Luxembourg
67036,69817;ORANGE Communications Luxembourg S.A.
67036,69817;TANGO S.A.
100383,83962;POST Luxembourg
75392,100872;POST Luxembourg
75392,100872;ORANGE Communications Luxembourg S.A.
75081,64667;POST Luxembourg
77617,78172;TANGO S.A.
77617,78172;ORANGE Communications Luxembourg S.A.
67858,64393;TANGO S.A.
67858,64393;ORANGE Communications Luxembourg S.A.
